Operadora,Quantidade,EIRP_Media,Raio_Medio,Cobertura_Total_km2
Telefonica Brasil S.a.,270,62.17200308547976,13.73272113265822,58990.32580691601
TELEFONICA BRASIL S.A.,2550,62.72449284510018,13.270193538819925,533467.5366819096
CLARO S.A.,2480,63.799701147639645,12.994374170858027,498279.59683543025
TIM S A,2372,61.86430002565973,13.466493853409242,504915.51024938474
TELEFÔNICA BRASIL S.A.,10,61.169691172335305,15.717472118959108,2875.0703774829503
POLICIA MILITAR DO ESTADO DE SÃO PAULO,20,53.458971326531675,17.251051900229584,7129.745054089306
PROTEGE S/A - PROTECAO E TRANSPORTE DE VALORES,3,46.53212513775344,20.0,1256.637061435917
EMPRESA DE DESENVOLVIMENTO URBANO E SOCIAL DE SOROCABA - URBES,425,39.197449357526615,20.0,178023.58370342164
BERBEL VIGILANCIA E SEGURANÇA PATRIMONIAL LTDA,284,40.90485183450167,20.0,118961.64181593352
SAMURAY SEGURANCA E VIGILANCIA LTDA - ME,4,55.53212513775344,20.0,1675.5160819145563
SOCIEDADE DE MELHORAMENTOS JARDIM GRANJA OLGA III,81,37.150066710562164,20.0,33929.20065876977
SOCIEDADE DE MELHORAMENTOS JARDIM GRANJA OLGA,50,36.98970004336019,20.0,20943.951023931953
SOCIEDADE MELHORAMENTOS JARDIM GRANJA OLGA II,50,36.98970004336019,20.0,20943.951023931953
TECSIS TECNOLOGIA E SISTEMAS AVANCADOS S.A.,4,55.235389083702174,1.347207485299563,7.616057181748424
OLIVEIRA MENDES SEGURANÇA PRIVADA LTDA,107,38.86251244506354,20.0,44820.05519121439
IHARABRAS SA INDUSTRIAS QUIMICAS,244,36.085835980275036,20.0,102206.48099678796
SHOPPING CIDADE - SOROCABA,193,37.90476433745058,20.0,80843.65095237736
C & A MODAS LTDA,11,36.98970004336019,20.0,4607.66922526503
ICON TAXI AEREO LTDA,1,42.542425094393245,20.0,418.87902047863906
LIQUIGAS DISTRIBUIDORA S.A.,4,30.0,20.0,1675.5160819145563
COMPANHIA PIRATININGA DE FORCA E LUZ,2157,43.89139740770573,19.980441621527213,902376.3245613861
TELEVISAO SOROCABA LTDA,4,59.62251153924635,3.3154335383672024,46.05117929230526
SCHAEFFLER BRASIL LTDA,61,36.15073434377407,20.0,25551.62024919698
WOBBEN WINDPOWER INDUSTRIA E COMERCIO LTDA,1240,36.98970004336019,20.0,519409.9853935125
MUNICIPIO DE SOROCABA,6271,40.929936108102886,19.94039493108121,2617569.396641001
Donizetti Macahubas Silva,4,43.638181262758266,20.0,1675.5160819145563
SECRETARIA DA ADMINISTRACAO PENITENCIARIA,894,38.21503474586905,20.0,374477.8443079034
ENGEFORT SISTEMA AVANÇADO DE SEGURANÇA LTDA,80,39.03462443487901,20.0,33510.32163829113
POLICIA CIVIL DO ESTADO DE SÃO PAULO - DIVISÃO DE COMUNICAÇÕES,1706,42.07319191646704,20.0,714607.6089365582
DEPARTAMENTO AEROVIARIO DO ESTADO DE SAO PAULO,13,40.31813853394272,20.0,5445.427266222308
ASSOCIACAO DOS PROFISSIONAIS DE RESGATE E EMERGENCIAS MEDICAS - APREMED,15,47.13212513775343,20.0,6283.185307179587
GOCIL SERVICOS DE VIGILANCIA E SEGURANCA LTDA,11,37.290518106923315,20.0,4607.66922526503
SERVICO AUTONOMO DE AGUA E ESGOTO,489,47.992080354814235,20.0,204831.84101405455
CRB INCORPORACAO E CONSTRUCAO LTDA,5,36.98970004336019,20.0,2094.3951023931954
CNH INDUSTRIAL BRASIL LTDA.,234,36.98970004336019,20.0,98017.69079200155
ROSA MARIA PAES AMATE,7,39.22770355394176,20.0,2932.153143350474
SP-CAR SISTEMA PRIVADO DE COMUNICACAO DE APOIO AO RADIO EIRELI,26,37.70287023929839,20.0,10890.854532444613
COMPANHIA BRASILEIRA DE ALUMINIO,3,55.53212513775344,20.0,1256.637061435917
INTERFORT SEGURANCA DE VALORES LTDA,43,36.34522317312708,20.0,18011.79788058148
TV ALIANCA PAULISTA LTDA,6,60.9244758400333,3.3361724148091727,70.08403893199248
Sanovo Greenpack Embalagens do Brasil Ltda,3,36.98970004336019,20.0,1256.637061435917
DONIZETTI MACAHUBAS SILVA - ME,18,36.505149978319906,20.0,7539.822368615503
Sanovo Greenpack Embalagens do Brasil Ltda                                                                              ,87,36.989700043360195,20.0,36442.47478164162
ALGAR TELECOM S/A,12,63.154875055722336,4.008602137118993,202.32586335113243
EMPRESA FUNERARIA MORENO LTDA,1,55.53212513775344,20.0,418.87902047863906
Associacao dos Tit.direitos Rel. Aos Lotes Integrantes do Loteam. Residencial Parque Reserva Fazenda Imperial,20,38.667851293743844,20.0,8377.580409572782
DENTAL MORELLI LTDA,4,70.5,0.3255172268253629,0.445715807698147
ALGAR MULTIMÍDIA S/A,2,58.48388930050312,20.0,837.7580409572781
DIRECTNET PRESTACAO DE SERVICOS LTDA,14,70.68450800444957,17.593959629299654,5047.469155045626
Action Infinite Communications Eireli,1,45.6,3.7764350453172204,14.934567717935066
SAMM - SOCIEDADE DE ATIVIDADES EM MULTIMÍDIA LTDA.,3,67.76511261364575,3.1145952347352726,30.485581648387345
Direct Lan Telecomunicacoes Sorocaba Ltda,1,56.996870826184036,3.291205897840969,11.343281848021533
Atacado e Auto Servico Esperanca Ltda.,54,36.989700043360195,20.0,22619.467105846506
Flextronics International Tecnologia Ltda,59,35.64440162215833,18.422315632151378,22335.844141836988
Servtronica Seguranca Eletronica Ltda,15,36.107536009528296,20.0,6283.185307179587
COMPANHIA DE TRANSMISSAO DE ENERGIA ELETRICA PAULISTA,2,63.976705030022615,1.6781857032994707,5.899631789555459
Associacao dos Empreendedores do Pcs,332,36.40046513088426,20.0,139067.8347989082
CONSORCIO SHOPPING CENTER IGUATEMI ESPLANADA,250,37.3257824430133,20.0,104719.75511965978
Comercial Esperanca Atacadista Importacao e Exportacao Ltda,128,36.020599913279625,20.0,53616.51462126581
